Fiscal Year;Category;Type;Scope;Description;Emissions
2021;Corporate emissions;Gross emissions;Scope 3;Business travel;22850
2022;Corporate emissions;Gross emissions;Scope 3;Business travel;113500
2016;Corporate emissions;Gross emissions;Scope 3;Business travel;118000
2017;Corporate emissions;Gross emissions;Scope 3;Business travel;121000
2015;Corporate emissions;Gross emissions;Scope 3;Business travel;139940
2020;Corporate emissions;Gross emissions;Scope 3;Business travel;153000
2019;Corporate emissions;Gross emissions;Scope 3;Business travel;326000
2018;Corporate emissions;Gross emissions;Scope 3;Business travel;337000
2022;Corporate emissions;Carbon removals;;Corporate carbon offsets;-324100
2021;Corporate emissions;Carbon removals;;Corporate carbon offsets;-167000
2020;Corporate emissions;Carbon removals;;Corporate carbon offsets;-70000
2019;Corporate emissions;Carbon removals;;Corporate carbon offsets;0
2018;Corporate emissions;Carbon removals;;Corporate carbon offsets;0
2017;Corporate emissions;Carbon removals;;Corporate carbon offsets;0
2016;Corporate emissions;Carbon removals;;Corporate carbon offsets;0
2015;Corporate emissions;Carbon removals;;Corporate carbon offsets;0
2022;Corporate emissions;Gross emissions;Scope 2 (market-based);Electricity;0
2021;Corporate emissions;Gross emissions;Scope 2 (market-based);Electricity;0
2020;Corporate emissions;Gross emissions;Scope 2 (market-based);Electricity;0
2019;Corporate emissions;Gross emissions;Scope 2 (market-based);Electricity;0
2018;Corporate emissions;Gross emissions;Scope 2 (market-based);Electricity;8730
2017;Corporate emissions;Gross emissions;Scope 2 (market-based);Electricity;36250
2016;Corporate emissions;Gross emissions;Scope 2 (market-based);Electricity;41000
2015;Corporate emissions;Gross emissions;Scope 2 (market-based);Electricity;42460
2021;Corporate emissions;Gross emissions;Scope 3;Employee commute;85570
2020;Corporate emissions;Gross emissions;Scope 3;Employee commute;134000
2022;Corporate emissions;Gross emissions;Scope 3;Employee commute;134200
2017;Corporate emissions;Gross emissions;Scope 3;Employee commute;172000
2015;Corporate emissions;Gross emissions;Scope 3;Employee commute;172970
2018;Corporate emissions;Gross emissions;Scope 3;Employee commute;183000
2016;Corporate emissions;Gross emissions;Scope 3;Employee commute;186000
2019;Corporate emissions;Gross emissions;Scope 3;Employee commute;195000
2017;Product life cycle emissions;Gross emissions;Scope 3;End-of-life processing;40000
